127.0.0.1 - - [06/Aug/2022:13:48:45 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2826
127.0.0.1 - - [06/Aug/2022:13:49:16 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2833
127.0.0.1 - - [06/Aug/2022:13:49:48 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2785
127.0.0.1 - - [06/Aug/2022:13:50:06 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2799
127.0.0.1 - - [06/Aug/2022:13:50:38 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2793
127.0.0.1 - - [06/Aug/2022:13:51:01 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2793
127.0.0.1 - - [06/Aug/2022:13:51:30 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2790
127.0.0.1 - - [06/Aug/2022:13:51:30 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:51:30 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:51:30 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:51:31 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:51:31 +0530] "GET /ServletBankingApp/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:51:53 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2794
127.0.0.1 - - [06/Aug/2022:13:52:13 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2793
127.0.0.1 - - [06/Aug/2022:13:52:21 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:52:51 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2792
127.0.0.1 - - [06/Aug/2022:13:54:05 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2797
127.0.0.1 - - [06/Aug/2022:13:55:16 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2797
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2830
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/css/popuo-box.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/js/jquery.magnific-popup.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/images/bg.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:57:26 +0530] "GET /ServletBankingApp/images/bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:13:58:17 +0530] "POST /ServletBankingApp/Login HTTP/1.1" 302 -
127.0.0.1 - - [06/Aug/2022:13:58:17 +0530] "GET /ServletBankingApp/login.html HTTP/1.1" 200 516
127.0.0.1 - - [06/Aug/2022:14:00:38 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 200 2832
127.0.0.1 - - [06/Aug/2022:14:00:43 +0530] "POST /ServletBankingApp/Regiser HTTP/1.1" 500 29
127.0.0.1 - - [06/Aug/2022:14:00:55 +0530] "GET /ServletBankingApp/newReg.html HTTP/1.1" 304 -
127.0.0.1 - - [06/Aug/2022:14:01:17 +0530] "POST /ServletBankingApp/Regiser HTTP/1.1" 302 -
